,genre,mood,title
1527,comedy,wild,"Parent Trap, The (1998)"
1528,western,wild,BASEketball (1998)
1529,mystery,romantic,Roger & Me (1989)
1530,comedy,dreamy,"Purple Rose of Cairo, The (1985)"
1531,drama,reflective,Out of the Past (1947)
1532,drama,mysterious,Doctor Zhivago (1965)
1533,western,gloomy,Fanny and Alexander (Fanny och Alexander) (1982)
1534,thriller,mysterious,"Trip to Bountiful, The (1985)"
1535,thriller,reflective,Tender Mercies (1983)
1536,mystery,cheerful,And the Band Played On (1993)
1537,western,wild,"'burbs, The (1989)"
1538,fantasy,gloomy,Fandango (1985)
1539,romance,wild,"Night Porter, The (Portiere di notte, Il) (1974)"
1540,comedy,romantic,Mephisto (1981)
1541,action,cheerful,Blue Velvet (1986)
1542,western,cheerful,"Journey of Natty Gann, The (1985)"
1543,fantasy,reflective,"Jungle Book, The (1967)"
1544,horror,spooky,Lady and the Tramp (1955)
1545,drama,wild,"Little Mermaid, The (1989)"
1546,western,gloomy,"Mighty Ducks, The (1992)"
1547,mystery,reflective,"Muppet Christmas Carol, The (1992)"
1548,drama,wild,Newsies (1992)
1549,western,reflective,101 Dalmatians (One Hundred and One Dalmatians) (1961)
1550,comedy,romantic,Peter Pan (1953)
1551,thriller,mysterious,Popeye (1980)
1552,horror,dreamy,"Rescuers Down Under, The (1990)"
1553,romance,gloomy,"Rescuers, The (1977)"
1554,romance,wild,Return from Witch Mountain (1978)
1555,horror,dreamy,"Return of Jafar, The (1994)"
1556,romance,romantic,Return to Oz (1985)
1557,fantasy,romantic,"Rocketeer, The (1991)"
1558,action,gloomy,"Shaggy D.A., The (1976)"
1559,western,romantic,Sleeping Beauty (1959)
1560,horror,romantic,Something Wicked This Way Comes (1983)
1561,action,mysterious,Son of Flubber (1963)
1562,comedy,energetic,Song of the South (1946)
1563,fantasy,wild,Splash (1984)
1564,comedy,energetic,Steamboat Willie (1928)
1565,action,spooky,Tall Tale (1995)
1566,mystery,wild,Tex (1982)
1567,comedy,romantic,Tron (1982)
1568,romance,reflective,Swing Kids (1993)
1569,romance,mysterious,Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998)
1570,romance,romantic,L.A. Story (1991)
1571,mystery,energetic,"Jerk, The (1979)"
1572,comedy,wild,Dead Men Don't Wear Plaid (1982)
1573,thriller,spooky,"Man with Two Brains, The (1983)"
1574,drama,wild,Grand Canyon (1991)
1575,action,reflective,"Outsiders, The (1983)"
1576,horror,energetic,Indiana Jones and the Temple of Doom (1984)
1577,western,reflective,"Lord of the Rings, The (1978)"
1578,romance,dreamy,1984 (Nineteen Eighty-Four) (1984)
1579,romance,mysterious,"Dead Zone, The (1983)"
1580,horror,spooky,Maximum Overdrive (1986)
1581,western,energetic,Needful Things (1993)
1582,comedy,cheerful,Cujo (1983)
1583,mystery,reflective,Children of the Corn (1984)
1584,mystery,energetic,All Dogs Go to Heaven (1989)
1585,romance,wild,"Addams Family, The (1991)"
1586,mystery,mysterious,Ever After: A Cinderella Story (1998)
1587,fantasy,energetic,Snake Eyes (1998)
1588,thriller,gloomy,Atlantic City (1980)
1589,western,romantic,Autumn Sonata (Höstsonaten) (1978)
1590,drama,energetic,Who's Afraid of Virginia Woolf? (1966)
1591,romance,mysterious,Adventures in Babysitting (1987)
1592,romance,mysterious,Weird Science (1985)
1593,horror,energetic,Doctor Dolittle (1967)
1594,western,reflective,"Nutty Professor, The (1963)"
1595,drama,spooky,Charlotte's Web (1973)
1596,comedy,gloomy,Watership Down (1978)
1597,fantasy,cheerful,"Secret of NIMH, The (1982)"
1598,horror,spooky,"Dark Crystal, The (1982)"
1599,thriller,reflective,"American Tail, An (1986)"
1600,fantasy,gloomy,"American Tail: Fievel Goes West, An (1991)"
1601,fantasy,energetic,Legend (1985)
1602,thriller,spooky,Sixteen Candles (1984)
1603,fantasy,dreamy,Pretty in Pink (1986)
1604,romance,gloomy,St. Elmo's Fire (1985)
1605,drama,reflective,"Clan of the Cave Bear, The (1986)"
1606,drama,dreamy,House (1986)
1607,action,dreamy,House II: The Second Story (1987)
1608,horror,mysterious,"Gods Must Be Crazy, The (1980)"
1609,comedy,gloomy,"Gods Must Be Crazy II, The (1989)"
1610,thriller,gloomy,Air Bud: Golden Receiver (1998)
1611,fantasy,spooky,"Avengers, The (1998)"
1612,drama,energetic,How Stella Got Her Groove Back (1998)
1613,comedy,romantic,"Slums of Beverly Hills, The (1998)"
1614,thriller,reflective,"Best Man, The (Testimone dello sposo, Il) (1998)"
1615,western,cheerful,Henry: Portrait of a Serial Killer (1986)
1616,western,gloomy,Rosemary's Baby (1968)
1617,horror,reflective,"NeverEnding Story, The (1984)"
1618,western,reflective,"NeverEnding Story II: The Next Chapter, The (1990)"
1619,romance,romantic,Attack of the Killer Tomatoes! (1978)
1620,mystery,energetic,Surf Nazis Must Die (1987)
1621,action,cheerful,Your Friends and Neighbors (1998)
1622,mystery,cheerful,Return to Paradise (1998)
1623,fantasy,cheerful,Blade (1998)
1624,thriller,spooky,Dead Man on Campus (1998)
1625,romance,wild,Wrongfully Accused (1998)
1626,thriller,spooky,Next Stop Wonderland (1998)
1627,western,romantic,"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)"
1628,comedy,wild,Beetlejuice (1988)
1629,western,wild,Déjà Vu (1997)
1630,action,energetic,Rope (1948)
1631,mystery,energetic,Family Plot (1976)
1632,drama,gloomy,Frenzy (1972)
1633,horror,reflective,Topaz (1969)
1634,fantasy,dreamy,Torn Curtain (1966)
1635,mystery,wild,Marnie (1964)
1636,action,romantic,"Wrong Man, The (1956)"
1637,fantasy,romantic,"Man Who Knew Too Much, The (1956)"
1638,romance,mysterious,"Trouble with Harry, The (1955)"
1639,western,reflective,I Confess (1953)
1640,romance,mysterious,Strangers on a Train (1951)
1641,fantasy,romantic,Stage Fright (1950)
1642,horror,gloomy,54 (1998)
1643,western,gloomy,Why Do Fools Fall In Love? (1998)
1644,action,dreamy,Willow (1988)
1645,action,spooky,"Untouchables, The (1987)"
1646,fantasy,romantic,Dirty Work (1998)
1647,horror,dreamy,Knock Off (1998)
1648,horror,reflective,"Paradine Case, The (1947)"
1649,action,reflective,Lifeboat (1944)
1650,comedy,gloomy,Shadow of a Doubt (1943)
1651,fantasy,energetic,Saboteur (1942)
1652,western,energetic,Mr. & Mrs. Smith (1941)
1653,mystery,gloomy,Suspicion (1941)
1654,comedy,romantic,Jamaica Inn (1939)
1655,romance,wild,"Lady Vanishes, The (1938)"
1656,western,cheerful,Sabotage (1936)
1657,drama,dreamy,Secret Agent (1936)
1658,mystery,gloomy,"Man Who Knew Too Much, The (1934)"
1659,comedy,gloomy,"Ring, The (1927)"
1660,drama,spooky,"Lodger: A Story of the London Fog, The (1927)"
1661,romance,spooky,Rounders (1998)
1662,comedy,romantic,Cube (1997)
1663,horror,romantic,Simon Birch (1998)
1664,mystery,romantic,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975)
1665,thriller,spooky,My Bodyguard (1980)
1666,mystery,spooky,Class (1983)
1667,drama,gloomy,Broadcast News (1987)
1668,comedy,energetic,"Allnighter, The (1987)"
1669,thriller,dreamy,Working Girl (1988)
1670,comedy,energetic,Married to the Mob (1988)
1671,comedy,gloomy,Say Anything... (1989)
1672,romance,wild,My Blue Heaven (1990)
1673,horror,energetic,Hero (1992)
1674,mystery,gloomy,Toys (1992)
1675,fantasy,dreamy,Young Doctors in Love (1982)
1676,fantasy,reflective,Parasite (1982)
1677,comedy,spooky,No Small Affair (1984)
1678,fantasy,gloomy,Blame It on Rio (1984)
1679,fantasy,wild,Wisdom (1986)
1680,western,cheerful,One Crazy Summer (1986)
1681,horror,cheerful,About Last Night... (1986)
1682,fantasy,reflective,"Seventh Sign, The (1988)"
1683,thriller,romantic,We're No Angels (1989)
1684,comedy,mysterious,Nothing But Trouble (1991)
1685,mystery,cheerful,"Butcher's Wife, The (1991)"
1686,horror,dreamy,Mortal Thoughts (1991)
1687,action,spooky,"Few Good Men, A (1992)"
1688,mystery,gloomy,Indecent Proposal (1993)
1689,fantasy,gloomy,Permanent Midnight (1998)
1690,mystery,wild,One True Thing (1998)
1691,thriller,reflective,Rush Hour (1998)
1692,fantasy,mysterious,Six-String Samurai (1998)
1693,romance,spooky,Ronin (1998)
1694,drama,gloomy,Urban Legend (1998)
1695,comedy,mysterious,Clay Pigeons (1998)
1696,thriller,mysterious,Monument Ave. (1998)
1697,action,romantic,Pecker (1998)
1698,mystery,energetic,"Sheltering Sky, The (1990)"
1699,mystery,romantic,"Fiendish Plot of Dr. Fu Manchu, The (1980)"
1700,horror,wild,Them! (1954)
1701,comedy,wild,"Thing, The (1982)"
1702,romance,gloomy,"Player, The (1992)"
1703,action,reflective,Stardust Memories (1980)
1704,romance,cheerful,Edward Scissorhands (1990)
1705,western,gloomy,Overnight Delivery (1998)
1706,thriller,cheerful,Antz (1998)
1707,fantasy,spooky,"Impostors, The (1998)"
1708,romance,cheerful,"Night at the Roxbury, A (1998)"
1709,action,spooky,What Dreams May Come (1998)
1710,fantasy,spooky,Strangeland (1998)
1711,romance,gloomy,"Producers, The (1968)"
1712,drama,spooky,History of the World: Part I (1981)
1713,action,mysterious,My Cousin Vinny (1992)
1714,comedy,mysterious,Nashville (1975)
1715,thriller,wild,Love Is the Devil (1998)
1716,horror,dreamy,Holy Man (1998)
1717,comedy,wild,One Tough Cop (1998)
1718,thriller,dreamy,"Mighty, The (1998)"
1719,western,spooky,2010: The Year We Make Contact (1984)
1720,thriller,romantic,Children of a Lesser God (1986)
1721,thriller,gloomy,"Elephant Man, The (1980)"
1722,romance,dreamy,Beloved (1998)
1723,horror,wild,Bride of Chucky (Child's Play 4) (1998)
1724,fantasy,gloomy,Practical Magic (1998)
1725,western,gloomy,Happiness (1998)
1726,mystery,wild,Apt Pupil (1998)
1727,action,reflective,Pleasantville (1998)
1728,fantasy,romantic,Soldier (1998)
1729,thriller,dreamy,"Cruise, The (1998)"
1730,comedy,spooky,Life Is Beautiful (La Vita è bella) (1997)
1731,fantasy,gloomy,Orgazmo (1997)
1732,horror,cheerful,Tales from the Darkside: The Movie (1990)
1733,romance,wild,Vampires (1998)
1734,western,romantic,American History X (1998)
1735,romance,mysterious,Hands on a Hard Body (1996)
1736,action,wild,Living Out Loud (1998)
1737,comedy,gloomy,Belly (1998)
1738,comedy,spooky,Gods and Monsters (1998)
1739,drama,reflective,"Siege, The (1998)"
1740,thriller,wild,"Waterboy, The (1998)"
1741,romance,dreamy,Elizabeth (1998)
1742,horror,spooky,Velvet Goldmine (1998)
1743,drama,dreamy,I Still Know What You Did Last Summer (1998)
1744,comedy,mysterious,I'll Be Home For Christmas (1998)
1745,drama,mysterious,Meet Joe Black (1998)
1746,horror,cheerful,Hard Core Logo (1996)
1747,fantasy,energetic,Runaway Train (1985)
1748,action,mysterious,"Stepford Wives, The (1975)"
1749,drama,energetic,"Pope of Greenwich Village, The (1984)"
1750,romance,wild,Sid and Nancy (1986)
1751,western,reflective,Mona Lisa (1986)
1752,drama,cheerful,Heart Condition (1990)
1753,comedy,dreamy,"Nights of Cabiria (Notti di Cabiria, Le) (1957)"
1754,thriller,gloomy,"Big Chill, The (1983)"
1755,romance,wild,Enemy of the State (1998)
1756,western,reflective,"Rugrats Movie, The (1998)"
1757,comedy,cheerful,"Bug's Life, A (1998)"
1758,drama,cheerful,Celebrity (1998)
1759,romance,wild,Central Station (Central do Brasil) (1998)
1760,thriller,energetic,Savior (1998)
1761,mystery,mysterious,Waking Ned Devine (a.k.a. Waking Ned) (1998)
1762,romance,romantic,"Celebration, The (Festen) (1998)"
1763,mystery,energetic,Pink Flamingos (1972)
1764,romance,spooky,Glen or Glenda (1953)
1765,western,wild,Godzilla (Gojira) (1954)
1766,horror,reflective,"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)"
1767,comedy,cheerful,King Kong vs. Godzilla (Kingukongu tai Gojira) (1962)
1768,western,wild,King Kong (1933)
1769,western,reflective,King Kong (1976)
1770,drama,spooky,King Kong Lives (1986)
1771,action,romantic,Desperately Seeking Susan (1985)
1772,comedy,cheerful,"Emerald Forest, The (1985)"
1773,drama,romantic,Fletch (1985)
1774,drama,spooky,Fletch Lives (1989)
1775,western,cheerful,Red Sonja (1985)
1776,romance,cheerful,Gung Ho (1986)
1777,romance,mysterious,"Money Pit, The (1986)"
1778,thriller,dreamy,"View to a Kill, A (1985)"
1779,horror,cheerful,Lifeforce (1985)
1780,horror,cheerful,Police Academy (1984)
1781,western,mysterious,Police Academy 2: Their First Assignment (1985)
1782,drama,cheerful,Police Academy 3: Back in Training (1986)
1783,thriller,energetic,Police Academy 4: Citizens on Patrol (1987)
1784,horror,spooky,Police Academy 5: Assignment: Miami Beach (1988)
1785,mystery,mysterious,Police Academy 6: City Under Siege (1989)
1786,action,romantic,Babe: Pig in the City (1998)
1787,thriller,dreamy,Home Fries (1998)
1788,fantasy,dreamy,Very Bad Things (1998)
1789,mystery,wild,Steam: The Turkish Bath (Hamam) (1997)
1790,mystery,mysterious,Psycho (1998)
1791,romance,romantic,Little Voice (1998)
1792,mystery,dreamy,"Simple Plan, A (1998)"
1793,drama,romantic,Jack Frost (1998)
1794,horror,wild,Star Trek: Insurrection (1998)
1795,horror,romantic,"Prince of Egypt, The (1998)"
1796,western,spooky,Rushmore (1998)
1797,romance,reflective,Shakespeare in Love (1998)
1798,thriller,mysterious,Miracle on 34th Street (1947)
1799,horror,reflective,Santa Claus: The Movie (1985)
1800,drama,romantic,Prancer (1989)
1801,drama,romantic,Pale Rider (1985)
1802,comedy,dreamy,Rambo: First Blood Part II (1985)
1803,western,gloomy,First Blood (Rambo: First Blood) (1982)
1804,fantasy,energetic,Rambo III (1988)
1805,action,spooky,"Jewel of the Nile, The (1985)"
1806,action,reflective,Romancing the Stone (1984)
1807,romance,dreamy,Cocoon (1985)
1808,horror,gloomy,Cocoon: The Return (1988)
1809,action,reflective,Rocky II (1979)
1810,mystery,cheerful,Rocky III (1982)
1811,drama,wild,Rocky IV (1985)
1812,comedy,romantic,Rocky V (1990)
1813,mystery,spooky,Clue (1985)
1814,romance,energetic,Young Sherlock Holmes (1985)
1815,comedy,reflective,Violets Are Blue... (1986)
1816,romance,romantic,Back to School (1986)
1817,action,wild,Heartburn (1986)
1818,romance,cheerful,Nothing in Common (1986)
1819,romance,wild,Extremities (1986)
1820,action,reflective,"Karate Kid, The (1984)"
1821,comedy,mysterious,"Karate Kid, Part II, The (1986)"
1822,comedy,wild,"Karate Kid, Part III, The (1989)"
1823,thriller,spooky,Christmas Vacation (National Lampoon's Christmas Vacation) (1989)
1824,romance,wild,You've Got Mail (1998)
1825,action,gloomy,"General, The (1998)"
1826,drama,romantic,"Thin Red Line, The (1998)"
1827,romance,energetic,"Faculty, The (1998)"
1828,mystery,energetic,Mighty Joe Young (1998)
1829,mystery,mysterious,Mighty Joe Young (1949)
1830,action,reflective,Patch Adams (1998)
1831,comedy,cheerful,Stepmom (1998)
1832,thriller,romantic,"Civil Action, A (1998)"
1833,action,dreamy,Hurlyburly (1998)
1834,comedy,spooky,Tea with Mussolini (1999)
1835,western,romantic,Affliction (1997)
1836,comedy,mysterious,Hilary and Jackie (1998)
1837,comedy,reflective,Playing by Heart (1998)
1838,action,wild,At First Sight (1999)
1839,drama,cheerful,In Dreams (1999)
1840,thriller,romantic,Varsity Blues (1999)
1841,drama,spooky,Virus (1999)
1842,thriller,spooky,Howard the Duck (1986)
1843,romance,reflective,"Gate, The (1987)"
1844,horror,dreamy,"Boy Who Could Fly, The (1986)"
1845,comedy,romantic,"Fly, The (1958)"
1846,fantasy,dreamy,"Fly, The (1986)"
1847,action,mysterious,"Fly II, The (1989)"
1848,drama,mysterious,Running Scared (1986)
1849,comedy,dreamy,Armed and Dangerous (1986)
1850,romance,energetic,"Texas Chainsaw Massacre, The (1974)"
1851,fantasy,gloomy,"Texas Chainsaw Massacre 2, The (1986)"
1852,fantasy,mysterious,Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994)
1853,fantasy,spooky,Ruthless People (1986)
1854,fantasy,reflective,Deadly Friend (1986)
1855,thriller,reflective,"Name of the Rose, The (Name der Rose, Der) (1986)"
1856,western,wild,Jumpin' Jack Flash (1986)
1857,fantasy,gloomy,Peggy Sue Got Married (1986)
1858,fantasy,gloomy,Crocodile Dundee (1986)
1859,action,energetic,Crocodile Dundee II (1988)
1860,western,reflective,Tough Guys (1986)
1861,action,romantic,Soul Man (1986)
1862,action,cheerful,"Color of Money, The (1986)"
1863,romance,mysterious,52 Pick-Up (1986)
1864,drama,cheerful,Heartbreak Ridge (1986)
1865,western,gloomy,Firewalker (1986)
1866,thriller,romantic,¡Three Amigos! (1986)
1867,romance,reflective,My Name Is Joe (1998)
1868,mystery,gloomy,Still Crazy (1998)
1869,comedy,cheerful,"Day of the Beast, The (Día de la Bestia, El) (1995)"
1870,action,romantic,She's All That (1999)
1871,drama,romantic,Peeping Tom (1960)
1872,drama,gloomy,Payback (1999)
1873,drama,cheerful,Simply Irresistible (1999)
1874,mystery,gloomy,20 Dates (1998)
1875,action,reflective,"Harmonists, The (1997)"
1876,western,cheerful,"Last Days, The (1998)"
1877,action,gloomy,"Fantastic Planet, The (Planète sauvage, La) (1973)"
1878,thriller,dreamy,Blast from the Past (1999)
1879,fantasy,mysterious,Message in a Bottle (1999)
1880,drama,wild,My Favorite Martian (1999)
1881,horror,reflective,Jawbreaker (1999)
1882,thriller,spooky,October Sky (1999)
1883,fantasy,mysterious,Office Space (1999)
1884,fantasy,dreamy,"Apple, The (Sib) (1998)"
1885,comedy,romantic,200 Cigarettes (1999)
1886,drama,reflective,8MM (1999)
1887,romance,wild,"Other Sister, The (1999)"
1888,romance,mysterious,"Long Goodbye, The (1973)"
1889,action,spooky,"Ballad of Narayama, The (Narayama bushiko) (1983)"
1890,mystery,dreamy,Pet Sematary (1989)
1891,fantasy,energetic,Pet Sematary II (1992)
1892,drama,cheerful,Children of the Corn II: The Final Sacrifice (1993)
1893,western,romantic,Children of the Corn III (1994)
1894,fantasy,romantic,Christine (1983)
1895,western,energetic,Night Shift (1982)
1896,comedy,wild,Airport (1970)
1897,romance,spooky,Airport 1975 (1974)
1898,western,wild,Airport '77 (1977)
1899,mystery,wild,Rollercoaster (1977)
1900,drama,reflective,"Towering Inferno, The (1974)"
1901,mystery,dreamy,Alligator (1980)
1902,western,cheerful,Meteor (1979)
1903,fantasy,energetic,Westworld (1973)
1904,western,wild,Logan's Run (1976)
1905,comedy,cheerful,Planet of the Apes (1968)
1906,thriller,romantic,Beneath the Planet of the Apes (1970)
1907,action,cheerful,Battle for the Planet of the Apes (1973)
1908,comedy,romantic,Conquest of the Planet of the Apes (1972)
1909,romance,spooky,Escape from the Planet of the Apes (1971)
1910,action,mysterious,Avalanche (1978)
1911,thriller,gloomy,Earthquake (1974)
1912,action,gloomy,Beyond the Poseidon Adventure (1979)
1913,thriller,energetic,Dancemaker (1998)
1914,thriller,dreamy,Analyze This (1999)
1915,fantasy,mysterious,"Corruptor, The (1999)"
1916,thriller,cheerful,Cruel Intentions (1999)
1917,comedy,cheerful,"Lock, Stock & Two Smoking Barrels (1998)"
1918,drama,cheerful,"School of Flesh, The (École de la chair, L') (1998)"
1919,mystery,romantic,"Deep End of the Ocean, The (1999)"
1920,thriller,wild,"Rage: Carrie 2, The (1999)"
1921,mystery,energetic,Wing Commander (1999)
1922,mystery,energetic,"Haunting, The (1963)"
1923,action,mysterious,Dead Ringers (1988)
1924,fantasy,romantic,My Boyfriend's Back (1993)
1925,action,cheerful,Village of the Damned (1960)
1926,action,mysterious,Children of the Damned (1963)
1927,mystery,wild,Baby Geniuses (1999)
1928,romance,gloomy,I Stand Alone (Seul contre tous) (1998)
1929,romance,energetic,Forces of Nature (1999)
1930,mystery,spooky,"King and I, The (1999)"
1931,horror,dreamy,Ravenous (1999)
1932,comedy,energetic,True Crime (1999)
1933,mystery,gloomy,Dangerous Beauty (1998)
1934,action,energetic,"King and I, The (1956)"
1935,mystery,reflective,Doug's 1st Movie (1999)
1936,western,cheerful,EDtv (1999)
1937,fantasy,cheerful,"Mod Squad, The (1999)"
1938,comedy,dreamy,"Walk on the Moon, A (1999)"
1939,comedy,cheerful,"Matrix, The (1999)"
1940,comedy,gloomy,10 Things I Hate About You (1999)
1941,horror,wild,Tango (1998)
1942,action,reflective,"Out-of-Towners, The (1999)"
1943,action,energetic,"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)"
1944,comedy,dreamy,Metroland (1997)
1945,western,spooky,Following (1998)
1946,mystery,dreamy,Go (1999)
1947,action,reflective,Never Been Kissed (1999)
1948,drama,energetic,Twin Dragons (Shuang long hui) (1992)
1949,drama,cheerful,Cookie's Fortune (1999)
1950,western,wild,"Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar) (1998)"
1951,comedy,gloomy,Goodbye Lover (1999)
1952,fantasy,romantic,Life (1999)
1953,fantasy,cheerful,Friends & Lovers (1999)
1954,drama,reflective,Hideous Kinky (1998)
1955,drama,reflective,"Monster, The (Mostro, Il) (1994)"
1956,romance,gloomy,Open Your Eyes (Abre los ojos) (1997)
1957,western,energetic,SLC Punk! (1998)
1958,mystery,romantic,Lost & Found (1999)
1959,western,cheerful,Pushing Tin (1999)
1960,fantasy,spooky,Election (1999)
1961,thriller,dreamy,eXistenZ (1999)
1962,romance,mysterious,Entrapment (1999)
1963,western,romantic,Idle Hands (1999)
1964,drama,gloomy,Get Real (1998)
1965,romance,gloomy,"King of Masks, The (Bian Lian) (1996)"
1966,action,mysterious,"Winslow Boy, The (1999)"
1967,thriller,romantic,Mildred Pierce (1945)
1968,thriller,energetic,Night of the Comet (1984)
1969,action,wild,Chopping Mall (a.k.a. Killbots) (1986)
1970,comedy,cheerful,My Science Project (1985)
1971,western,energetic,Dick Tracy (1990)
1972,drama,cheerful,"Mummy, The (1999)"
1973,fantasy,cheerful,"Castle, The (1997)"
1974,comedy,energetic,This Is My Father (1998)
1975,thriller,mysterious,William Shakespeare's A Midsummer Night's Dream (1999)
1976,mystery,wild,Trippin' (1999)
1977,thriller,romantic,After Life (Wandafuru raifu) (1998)
1978,horror,wild,Black Mask (Hak hap) (1996)
1979,romance,wild,Star Wars: Episode I - The Phantom Menace (1999)
1980,thriller,mysterious,"Love Letter, The (1999)"
1981,horror,cheerful,Besieged (a.k.a. L' Assedio) (1998)
1982,drama,spooky,"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)"
1983,thriller,reflective,"Mummy, The (1932)"
1984,comedy,gloomy,"Mummy, The (1959)"
1985,western,energetic,Mommie Dearest (1981)
1986,mystery,reflective,Superman (1978)
1987,comedy,wild,Superman II (1980)
1988,action,gloomy,Superman III (1983)
1989,action,energetic,Superman IV: The Quest for Peace (1987)
1990,horror,gloomy,Dracula (1931)
1991,romance,cheerful,Frankenstein (1931)
1992,romance,cheerful,Frankenstein Meets the Wolf Man (1943)
1993,romance,dreamy,"Curse of Frankenstein, The (1957)"
1994,comedy,wild,"Wolf Man, The (1941)"
1995,action,spooky,Howling II: Your Sister Is a Werewolf (1985)
1996,comedy,dreamy,Tarantula (1955)
1997,fantasy,mysterious,"Rocky Horror Picture Show, The (1975)"
1998,drama,mysterious,It Came from Hollywood (1982)
1999,horror,dreamy,"Thing from Another World, The (1951)"
2000,thriller,cheerful,It Came from Outer Space (1953)
2001,mystery,energetic,"War of the Worlds, The (1953)"
2002,drama,energetic,Invasion of the Body Snatchers (1956)
2003,horror,energetic,Earth vs. the Flying Saucers (1956)
2004,mystery,gloomy,Swamp Thing (1982)
2005,comedy,energetic,Pork Chop Hill (1959)
2006,mystery,dreamy,Run Silent Run Deep (1958)
2007,thriller,dreamy,Notting Hill (1999)
2008,drama,reflective,"Thirteenth Floor, The (1999)"
2009,action,energetic,"Loss of Sexual Innocence, The (1999)"
2010,romance,wild,Instinct (1999)
2011,mystery,dreamy,Buena Vista Social Club (1999)
2012,fantasy,gloomy,Free Enterprise (1998)
2013,western,mysterious,Limbo (1999)
2014,thriller,romantic,Austin Powers: The Spy Who Shagged Me (1999)
2015,fantasy,energetic,"Red Violin, The (Violon rouge, Le) (1998)"
2016,horror,energetic,Tarzan (1999)
2017,romance,gloomy,"General's Daughter, The (1999)"
2018,horror,cheerful,"Ideal Husband, An (1999)"
2019,thriller,dreamy,"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998)"
2020,romance,gloomy,Run Lola Run (Lola rennt) (1998)
2021,thriller,romantic,Trekkies (1997)
2022,drama,mysterious,Big Daddy (1999)
2023,comedy,dreamy,"Boys, The (1998)"
2024,drama,cheerful,"Dinner Game, The (Dîner de cons, Le) (1998)"
2025,fantasy,romantic,My Son the Fanatic (1997)
2026,romance,gloomy,Zone 39 (1997)
2027,mystery,spooky,Arachnophobia (1990)
2028,romance,cheerful,"South Park: Bigger, Longer and Uncut (1999)"
2029,fantasy,mysterious,Wild Wild West (1999)
2030,comedy,dreamy,Summer of Sam (1999)
2031,drama,mysterious,American Pie (1999)
2032,thriller,wild,Arlington Road (1999)
2033,comedy,reflective,"Autumn Tale, An (Conte d'automne) (1998)"
2034,action,spooky,Muppets From Space (1999)
2035,fantasy,wild,"Blair Witch Project, The (1999)"
2036,comedy,gloomy,Eyes Wide Shut (1999)
2037,action,reflective,Lake Placid (1999)
2038,action,cheerful,Ghostbusters (a.k.a. Ghost Busters) (1984)
2039,mystery,romantic,Ghostbusters II (1989)
2040,western,cheerful,Drop Dead Gorgeous (1999)
2041,comedy,reflective,"Haunting, The (1999)"
2042,drama,gloomy,Inspector Gadget (1999)
2043,romance,spooky,Deep Blue Sea (1999)
2044,action,mysterious,Mystery Men (1999)
2045,mystery,dreamy,Runaway Bride (1999)
2046,thriller,energetic,Twin Falls Idaho (1999)
2047,romance,wild,"Killing, The (1956)"
2048,mystery,wild,Killer's Kiss (1955)
2049,mystery,wild,Spartacus (1960)
2050,action,mysterious,Lolita (1962)
2051,action,cheerful,Barry Lyndon (1975)
2052,comedy,spooky,"400 Blows, The (Les quatre cents coups) (1959)"
2053,action,wild,Jules and Jim (Jules et Jim) (1961)
2054,action,reflective,Vibes (1988)
2055,fantasy,spooky,"Mosquito Coast, The (1986)"
2056,action,spooky,"Golden Child, The (1986)"
2057,fantasy,reflective,Brighton Beach Memoirs (1986)
2058,thriller,wild,Assassination (1987)
2059,action,energetic,Crimes of the Heart (1986)
2060,comedy,mysterious,"Color Purple, The (1985)"
2061,drama,energetic,"Kindred, The (1986)"
2062,romance,wild,No Mercy (1986)
2063,mystery,cheerful,Ménage (Tenue de soirée) (1986)
2064,action,romantic,Native Son (1986)
2065,action,romantic,Otello (1986)
2066,horror,dreamy,"Mission, The (1986)"
2067,thriller,mysterious,Little Shop of Horrors (1986)
2068,fantasy,wild,"Little Shop of Horrors, The (1960)"
2069,thriller,wild,Allan Quatermain and the Lost City of Gold (1987)
2070,romance,spooky,"Morning After, The (1986)"
2071,horror,energetic,Radio Days (1987)
2072,fantasy,energetic,From the Hip (1987)
2073,drama,cheerful,Outrageous Fortune (1987)
2074,thriller,energetic,Deadtime Stories (1987)
2075,action,romantic,Frances (1982)
2076,romance,gloomy,Dick (1999)
2077,romance,wild,"Iron Giant, The (1999)"
2078,action,cheerful,"Sixth Sense, The (1999)"
2079,thriller,mysterious,"Thomas Crown Affair, The (1999)"
2080,mystery,mysterious,"Thomas Crown Affair, The (1968)"
2081,action,wild,"Acid House, The (1998)"
2082,thriller,romantic,"Adventures of Sebastian Cole, The (1998)"
2083,romance,gloomy,"Yards, The (2000)"
2084,comedy,wild,Bowfinger (1999)
